168.640116687195,-45.8547311410976,Sandstone Kingston Crossing Rd,Shouldbe: Longridge,2663
168.6317627,-45.8608938,Sandstone Kingston Crossing Rd,Shouldbe: Longridge,840
168.667403,-45.8803454,Crooked Rd,Shouldbe: Longridge,798
168.48638019272,-45.763232232567,Old Balfour Rd,"Shouldbe: Longridge North, Lumsden",0
168.55122657767,-45.8126519900293,Old Balfour Rd,"Shouldbe: Longridge North, St Patricks",3134
167.952788497634,-46.3520632277208,Tihaka Beach Rd,Shouldbe: Longwood,63
168.351478999504,-46.3564302977061,Beaconsfield Rd,Shouldbe: Lorneville,15
168.34736,-46.3581229,SH6,Shouldbe: Lorneville,681
168.3272797,-46.3526526,Steel Rd,Shouldbe: Lorneville,595
168.34736,-46.3595458,SH6,Shouldbe: Lorneville,566
168.3473596,-46.3563212,SH6,Shouldbe: Lorneville,837
168.3473501,-46.3645298,SH6,Shouldbe: Lorneville,12
168.34732,-46.3455469,SH6,Shouldbe: Lorneville,1976
168.338159776364,-46.344005801244,SH99,Shouldbe: Lorneville,1774
168.32739881989,-46.3526697725935,Mika Way,Shouldbe: Lorneville,595
168.3272499,-46.3508615,Steel Rd,Shouldbe: Lorneville,600
168.3272998,-46.3581249,Steel Rd,Shouldbe: Lorneville,0
169.8354443,-46.1937459,Robson Rd,Shouldbe: Lovells Flat,0
169.854574146246,-46.1837617045155,Remote Rd,Shouldbe: Lovells Flat,1808
169.895115840755,-46.1837496079585,Elliotvale Rd,Shouldbe: Lovells Flat,0
168.768973192312,-45.0003720301468,Lower Shotover Rd,Shouldbe: Lower Shotover,0
168.766410226474,-44.9990471691004,Lower Shotover Rd,"Shouldbe: Lower Shotover, Speargrass Flat",158
168.48268861936,-45.5865674911322,SH6,Shouldbe: Lowther,6368
169.2787606,-44.7337389,SH8A,Shouldbe: Luggate,152
169.322620551891,-44.736993368389,SH8A,"Shouldbe: Luggate, Tarras",2120
168.46886313199,-45.7513200131422,SH94,Shouldbe: Lumsden,23
170.843379050582,-45.1675596835275,Maheno-Kakanui Rd,Shouldbe: Maheno,1413
170.847520334265,-45.1943301033725,Happy Valley Rd,"Shouldbe: Kakanui, Maheno",0
168.981574083497,-46.0150512524524,Chittock Rd,Shouldbe: Maitland,1679
168.981940542896,-46.0063999088513,Chittock Rd,Shouldbe: Maitland,2568
169.041762394367,-45.9744221766968,Gardyne Rd,Shouldbe: Maitland,5429
169.027972216366,-46.0087269816967,Waikaka Rd,Shouldbe: Maitland,1895
169.072416296052,-46.0017927399973,Donald Rd,"Shouldbe: Maitland, Waikaka Valley",543
168.3472907,-46.3295912,SH6,Shouldbe: Makarewa,0
168.34724,-46.3213191,SH6,Shouldbe: Makarewa,1591
168.3472405,-46.322293,SH6,Shouldbe: Makarewa,779
168.353527600641,-46.3074157976924,Settlers Rd,Shouldbe: Makarewa,398
168.3472895,-46.314974,SH6,Shouldbe: Makarewa,16271
168.38464,-46.3222727,Helena Rd,Shouldbe: Makarewa,2131
168.38464,-46.3077163,Helena Rd,Shouldbe: Makarewa,2940
168.40968629579,-46.2807681716446,Pullar Rd,Shouldbe: Makarewa,773
168.4153614,-46.2806596,Pullar Rd,Shouldbe: Makarewa,404
168.346876790635,-46.3077829001184,SH6,Shouldbe: Makarewa,15486
168.3414,-46.2977936561642,SH6,Shouldbe: Makarewa,14299
171.03637,-44.6863972766196,Waimate Hunter Rd,Shouldbe: Makikihi,754
