175.24965271605228,-37.75241794753267,Garland Dr,Shouldbe: St Andrews,820167
175.25073631275643,-37.75341605452723,Dale Pl,Shouldbe: St Andrews,820167
175.25781975022045,-37.75508115858563,Sandwich Rd,Shouldbe: St Andrews,820170
175.2588023,-37.756177599999994,Duncan Rd,Shouldbe: St Andrews,820170
175.240991,-37.74998849999999,Perclo Pl,Shouldbe: St Andrews,820172
175.2559531,-37.7550929,Warwick Ave,Shouldbe: St Andrews,820180
175.257824,-37.7550627,Sandwich Rd,Shouldbe: St Andrews,820249
175.2573249,-37.754476,Sandwich Rd,Shouldbe: St Andrews,820249
175.2545627,-37.7527246,Seamer Pl,Shouldbe: St Andrews,820270
175.24083330000002,-37.748791,Sandwich Rd,Shouldbe: St Andrews,820289
175.25733459999998,-37.7544623,Sandwich Rd,Shouldbe: St Andrews,820293
175.2572507,-37.7543908,Sandwich Rd,Shouldbe: St Andrews,820293
175.2510575903138,-37.751643735606706,Waiwherowhero Dr,Shouldbe: St Andrews,820298
175.25600165937632,-37.75287603164244,Sandwich Rd,Shouldbe: St Andrews,820299
175.24716980000002,-37.7506447,Hugh Pl,Shouldbe: St Andrews,820323
175.24215059530889,-37.748884344565674,Morrow Ave,Shouldbe: St Andrews,820325
175.2421543,-37.7488905,Sandwich Rd,Shouldbe: St Andrews,820325
175.2454543517811,-37.74986319130614,Larnach St,Shouldbe: St Andrews,820331
175.24399259999998,-37.7487977,Beadle Pl,Shouldbe: St Andrews,820331
175.24593462725176,-37.75009744193838,English St,Shouldbe: St Andrews,820332
175.24592222229768,-37.750132291680806,Larnach St,Shouldbe: St Andrews,820332
175.2425942116077,-37.74894157906752,Sandwich Rd,Shouldbe: St Andrews,820335
175.25295583242192,-37.75055918818876,Waiwherowhero Dr,Shouldbe: St Andrews,820363
175.24142766445536,-37.74817333237189,Brough Pl,Shouldbe: St Andrews,820371
175.24716950889217,-37.75011934533919,Larnach St,Shouldbe: St Andrews,820376
175.26235741146078,-37.75488,St Andrews Terrace,Shouldbe: St Andrews,820377
175.24227524408204,-37.74829475591797,Morrow Ave,Shouldbe: St Andrews,820384
175.24401847908877,-37.74878412802293,Sandwich Rd,Shouldbe: St Andrews,820400
175.255494403707,-37.752316005054965,Sandwich Rd,Shouldbe: St Andrews,820410
175.25601299068333,-37.752850803726666,St Andrews Terrace,Shouldbe: St Andrews,820410
175.2542570287004,-37.751924578105736,Mangakoea Pl,Shouldbe: St Andrews,820412
175.249022237276,-37.750322295048434,Cecil St,Shouldbe: St Andrews,820421
175.25221934258593,-37.75143133465513,Mangakoea Pl,Shouldbe: St Andrews,820422
175.2584334974037,-37.75260739896148,St Andrews Terrace,Shouldbe: St Andrews,820429
175.25313,-37.75155143906011,Mangakoea Pl,Shouldbe: St Andrews,820441
175.25502439085895,-37.751072623719466,Sandwich Rd,Shouldbe: St Andrews,820448
175.2554976,-37.752307800000004,Glading Pl,Shouldbe: St Andrews,820448
175.25755895531884,-37.753006594456224,Golf Grv,Shouldbe: St Andrews,820450
175.2550051763644,-37.751063792092836,Waiwherowhero Dr,Shouldbe: St Andrews,820521
175.253574,-37.7508472,Waiwherowhero Dr,Shouldbe: St Andrews,820529
175.2468698,-37.7484622,Sandwich Rd,Shouldbe: St Andrews,820534
175.2468861,-37.7484693,Sandwich Rd,Shouldbe: St Andrews,820534
175.25298596740535,-37.750560589860825,Maahutaupeke Pl,Shouldbe: St Andrews,820536
175.2495896,-37.7492015,Cecil St,Shouldbe: St Andrews,820555
175.24961552170356,-37.7492090591077,English St,Shouldbe: St Andrews,820555
175.25461410000003,-37.7500799,Sandwich Rd,Shouldbe: St Andrews,820558
175.2484907,-37.7483996,Sandwich Rd,Shouldbe: St Andrews,820598
175.2484107,-37.7470635,Totara Dr,Shouldbe: St Andrews,820598
