168.985770958379,-45.0343459426882,SH6,Shouldbe: Gibbston,11147
167.66684131113,-46.1831866257966,SH99,Shouldbe: Te Waewae,11151
168.499481518397,-46.2140215183969,SH96,"Shouldbe: Hedgehope, Springhills",11189
167.950072255405,-46.3523407508894,SH99,"Shouldbe: Longwood, Tihaka",11197
168.16648898056,-46.0385648346377,SH96,Shouldbe: Dunearn,11212
169.530377964072,-45.8225153947918,SH8,Shouldbe: Beaumont,11232
169.983557496352,-45.1351995092534,Barneys Lane,Shouldbe: Gimmerburn,11246
168.7941234,-45.7709163,Riversdale Waikaia Rd,Shouldbe: Freshford,11247
168.1651143,-46.0382295,SH96,Shouldbe: Dunearn,11308
169.4704288,-46.2420223,Hillfoot Rd,Shouldbe: Waiwera South,11315
169.137112838245,-46.0104071617553,SH90,Shouldbe: Waikoikoi,11352
