174.072181067771,-35.4802,Matawaia Maromaku Rd,Shouldbe: Maromaku,1051
174.702973947207,-36.3390644280742,Matakana Valley Rd,Shouldbe: Matakana,1731
174.70017,-36.3335544082405,Matakana Valley Rd,Shouldbe: Matakana,1105
174.697222178312,-36.3266415030942,Matakana Valley Rd,Shouldbe: Matakana,752
174.697075028182,-36.3267172569283,Smith Rd,Shouldbe: Matakana,290
174.708600295183,-36.3450734652175,Matakana Valley Rd,Shouldbe: Matakana,2285
174.14107,-36.1237253127081,Oparakau Rd,Shouldbe: Matakohe,2221
174.135682107424,-36.1607494804742,Te Kowhai Rd,Shouldbe: Matakohe,2296
174.139250017872,-36.1290038999144,Oparakau Rd,Shouldbe: Matakohe,2384
174.1328436,-36.1145436,Oparakau Rd,Shouldbe: Matakohe,2190
174.132097534029,-36.1137682928763,Oparakau Rd,Shouldbe: Matakohe,2173
174.454779118018,-35.607785337883,Kaiatea Rd,Shouldbe: Matapouri,0
174.249345708641,-35.6697614653849,Waipapa Rd,Shouldbe: Matarau,0
173.611265343132,-35.5479192021603,Waoku Rd,"Shouldbe: Mataraua Forest, Waima Forest",2097
173.898360488383,-35.0590333733734,Matauri Bay Rd,Shouldbe: Matauri Bay,1862
173.886200999501,-35.0604915587795,Matauri Bay Rd,Shouldbe: Matauri Bay,748
174.193194403563,-35.8235806491688,Snooks Rd,Shouldbe: Maungakaramea,2004
174.196360260838,-35.8238193043637,Snooks Rd,Shouldbe: Maungakaramea,1927
174.233750246876,-35.8247836929355,Ormandy Rd,Shouldbe: Maungakaramea,17
174.198085013958,-35.7057351319584,Kara Rd,Shouldbe: Maungatapere,272
174.223299778392,-35.7420928808996,Kara Rd,Shouldbe: Maungatapere,1525
174.2173701,-35.7318219,Kara Rd,Shouldbe: Maungatapere,1341
174.215379633134,-35.7310147898716,Kara Rd,Shouldbe: Maungatapere,1183
174.213358602168,-35.7304199976789,Kara Rd,Shouldbe: Maungatapere,891
174.21125426093,-35.7282914448331,Kara Rd,Shouldbe: Maungatapere,0
174.20847459632,-35.7167759932457,Kara Rd,Shouldbe: Maungatapere,0
174.209287819652,-35.7116479946096,Kara Rd,Shouldbe: Maungatapere,0
174.2006344,-35.7070172,Kara Rd,Shouldbe: Maungatapere,135
174.211282005633,-35.7284101553746,Waterfall Way,Shouldbe: Maungatapere,829
174.228030576407,-35.7443417660532,SH14,Shouldbe: Maungatapere,553
174.223171689413,-35.74222,SH14,Shouldbe: Maungatapere,831
174.2129645,-35.7476248,SH14,Shouldbe: Maungatapere,1219
174.212371813986,-35.7481685942086,SH14,Shouldbe: Maungatapere,1242
174.2077385,-35.7550526,SH14,Shouldbe: Maungatapere,1563
174.2075868,-35.7553205,SH14,Shouldbe: Maungatapere,1576
174.207245503581,-35.756450128335,SH14,Shouldbe: Maungatapere,1606
174.213395928058,-35.7304240719419,Tui Bush Lane,Shouldbe: Maungatapere,1020
174.215420018385,-35.7309805116785,Kaitara Lane,Shouldbe: Maungatapere,1076
174.208177438378,-35.7551958127925,SH15,Shouldbe: Maungatapere,0
174.282944784065,-35.7388961642865,SH14,Shouldbe: Maunu,377
174.2823842,-35.7394756,SH14,Shouldbe: Maunu,451
174.283543307506,-35.7381666924944,SH14,Shouldbe: Maunu,294
174.2790751,-35.7423428,SH14,Shouldbe: Maunu,877
